# SAVED: date 07/30/2021 time 16:47:34
*VERSION*1.100000
*ORIENTATION*0
*CHANNELS*11000000
*PDD*0

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
1903.2033,1903.2033,-254.382863019397,15,136.832043528557,8285.01987457275,-,-,-,-,-,-
2152.8037,249.6004,-253.171019166405,15,138.197734951973,8292.06085205078,-,-,-,-,-,-
2402.4042,249.6005,-251.671063962678,15,143.097445368767,8314.10121917725,-,-,-,-,-,-
2652.0046,249.6004,-250.183390335524,15,149.61439371109,8307.65342712402,-,-,-,-,-,-
2901.605,249.6004,-248.681819906184,15,152.519464492798,8299.58820343018,-,-,-,-,-,-
3151.2055,249.6005,-247.183335300103,15,159.64138507843,8298.41423034668,-,-,-,-,-,-
3400.8059,249.6004,-245.688989728855,15,165.122106671333,8314.29290771484,-,-,-,-,-,-
3650.4064,249.6005,-244.183295623404,15,173.603713512421,8278.15246582031,-,-,-,-,-,-
3900.0068,249.6004,-242.682967970665,15,178.048208355904,8278.5120010376,-,-,-,-,-,-
4149.6072,249.6004,-241.194994848429,15,185.96076965332,8282.97233581543,-,-,-,-,-,-
4399.2077,249.6005,-239.694553285167,15,194.95153427124,8297.90496826172,-,-,-,-,-,-
4648.8081,249.6004,-238.194822062804,15,203.32533121109,8284.95979309082,-,-,-,-,-,-
4898.4086,249.6005,-236.695376256695,15,211.477518081665,8302.56366729736,-,-,-,-,-,-
5148.009,249.6004,-235.207598958167,15,221.600368618965,8309.2212677002,-,-,-,-,-,-
5397.6094,249.6004,-233.713335300103,15,234.370708465576,8292.83332824707,-,-,-,-,-,-
5647.2099,249.6005,-232.213231628728,15,248.111441731453,8281.21757507324,-,-,-,-,-,-
5896.8103,249.6004,-230.707177873201,15,259.33638215065,8304.79621887207,-,-,-,-,-,-
6146.4107,249.6004,-229.219581039657,15,274.616479873657,8290.3003692627,-,-,-,-,-,-
6396.0112,249.6005,-227.719607917421,15,288.542896509171,8277.48775482178,-,-,-,-,-,-
6645.6116,249.6004,-226.225499126473,15,304.128438234329,8298.18058013916,-,-,-,-,-,-
6895.2121,249.6005,-224.719232908622,15,319.121062755585,8316.14303588867,-,-,-,-,-,-
7144.8125,249.6004,-223.219541362959,15,334.467053413391,8298.44951629639,-,-,-,-,-,-
7394.4129,249.6004,-221.731532403704,15,352.418601512909,8299.24011230469,-,-,-,-,-,-
7644.0134,249.6005,-220.225078041507,15,375.467538833618,8293.91098022461,-,-,-,-,-,-
7893.6138,249.6004,-218.737349378932,15,398.929744958878,8280.24196624756,-,-,-,-,-,-
8143.2143,249.6005,-217.219629675611,15,426.632821559906,8289.16263580322,-,-,-,-,-,-
8392.8147,249.6004,-215.743354498506,15,455.515831708908,8284.78622436523,-,-,-,-,-,-
8642.4151,249.6004,-214.243515765088,15,492.389351129532,8280.27725219727,-,-,-,-,-,-
8892.0156,249.6005,-212.743547762426,15,544.063806533813,8295.45021057129,-,-,-,-,-,-
9141.616,249.6004,-211.243403134459,15,615.151226520538,8298.76804351807,-,-,-,-,-,-
9391.2164,249.6004,-209.748978209813,15,754.295349121094,8294.32392120361,-,-,-,-,-,-
9640.8169,249.6005,-208.249462009561,15,1060.97543239594,8289.81685638428,-,-,-,-,-,-
9890.4173,249.6004,-206.743088280655,15,1903.82480621338,8302.8564453125,-,-,-,-,-,-
10140.0178,249.6005,-205.255021726192,15,3753.08227539063,8291.69082641602,-,-,-,-,-,-
10389.6182,249.6004,-203.755284104363,15,6190.56034088135,8299.80945587158,-,-,-,-,-,-
10639.2186,249.6004,-202.254449473004,15,8491.18232727051,8297.55783081055,-,-,-,-,-,-
10888.8191,249.6005,-200.741821045289,15,9830.36231994629,8295.04299163818,-,-,-,-,-,-
11138.4195,249.6004,-199.241027652099,15,10358.0732345581,8283.1335067749,-,-,-,-,-,-
11388.02,249.6005,-197.754783665999,15,10604.3405532837,8285.61210632324,-,-,-,-,-,-
11637.6204,249.6004,-196.266573763463,15,10775.7396697998,8300.91667175293,-,-,-,-,-,-
11887.2208,249.6004,-194.76686429929,15,10917.6921844482,8290.06767272949,-,-,-,-,-,-
12136.8213,249.6005,-193.266747828981,15,11029.3493270874,8302.36625671387,-,-,-,-,-,-
12386.4217,249.6004,-191.772155238284,15,11136.9638442993,8295.61138153076,-,-,-,-,-,-
12636.0221,249.6004,-190.277722634277,15,11257.306098938,8296.74911499023,-,-,-,-,-,-
12885.6226,249.6005,-188.766325464121,15,11347.5065231323,8301.04923248291,-,-,-,-,-,-
