# Exported: 11/2/2021 3:50:38 PM
# Scan Set: J42
# Scan Orientation: Transverse
# Scan: d = 15 mm
# Processed Data

Position,Value
-255.290882522939,0.0060
-254.079038669947,0.0060
-252.57908346622,0.0062
-251.091409839066,0.0065
-249.589839409726,0.0066
-248.091354803645,0.0069
-246.597009232397,0.0072
-245.091315126946,0.0076
-243.590987474207,0.0077
-242.103014351971,0.0081
-240.602572788709,0.0085
-239.102841566346,0.0088
-237.603395760237,0.0092
-236.115618461709,0.0096
-234.621354803645,0.0102
-233.12125113227,0.0108
-231.615197376743,0.0113
-230.127600543199,0.0119
-228.627627420963,0.0126
-227.133518630015,0.0132
-225.627252412164,0.0139
-224.127560866501,0.0146
-222.639551907246,0.0153
-221.133097545049,0.0163
-219.645368882474,0.0174
-218.127649179153,0.0186
-216.651374002048,0.0198
-215.15153526863,0.0214
-213.651567265968,0.0237
-212.151422638001,0.0268
-210.656997713355,0.0328
-209.157481513103,0.0462
-207.651107784197,0.0828
-206.163041229734,0.1633
-204.663303607905,0.2693
-203.162468976546,0.3694
-201.649840548831,0.4277
-200.149047155641,0.4506
-198.662803169541,0.4614
-197.174593267005,0.4688
-195.674883802832,0.4750
-194.174767332523,0.4798
-192.680174741826,0.4845
-191.185742137819,0.4898
-189.674344967663,0.4937
-188.19230017139,0.4983
-186.691382487742,0.5023
-185.185991717054,0.5067
-183.698397443297,0.5095
-182.198698218273,0.5139
-180.704909400703,0.5180
-179.204401282978,0.5221
-177.710398723191,0.5261
-176.21012866566,0.5299
-174.710671340509,0.5333
-173.216621424662,0.5366
-171.710666220935,0.5405
-170.210955476869,0.5442
-168.722830047305,0.5467
-167.222943957827,0.5512
-165.728655981787,0.5554
-164.210856925069,0.5580
-162.73513082228,0.5613
-161.234437119996,0.5650
-159.734664941042,0.5689
-157.199759685159,0.5718
-154.454776291777,0.5804
-152.997536548524,0.5850
-151.491545507778,0.5880
-150.003592863838,0.5910
-148.509306167692,0.5951
