# Saved: 07-Mar-2013 10:24:59
*VERSION*1.100000
*ORIENTATION*0
*CHANNELS*11000000
*PDD*0

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
0,0,-250,15,0.001092,1,-,-,-,-,-,-,
0,0,-249,15,0.0011245,1,-,-,-,-,-,-,
0,0,-248,15,0.0011437,1,-,-,-,-,-,-,
0,0,-247,15,0.0011819,1,-,-,-,-,-,-,
0,0,-246,15,0.0012409,1,-,-,-,-,-,-,
0,0,-245,15,0.0012587,1,-,-,-,-,-,-,
0,0,-244,15,0.0012922,1,-,-,-,-,-,-,
0,0,-243,15,0.0013506,1,-,-,-,-,-,-,
0,0,-242,15,0.001406,1,-,-,-,-,-,-,
0,0,-241,15,0.0014536,1,-,-,-,-,-,-,
0,0,-240,15,0.0015102,1,-,-,-,-,-,-,
0,0,-239,15,0.0015739,1,-,-,-,-,-,-,
0,0,-238,15,0.0016263,1,-,-,-,-,-,-,
0,0,-237,15,0.0016696,1,-,-,-,-,-,-,
0,0,-236,15,0.0017396,1,-,-,-,-,-,-,
0,0,-235,15,0.0018393,1,-,-,-,-,-,-,
0,0,-234,15,0.0019109,1,-,-,-,-,-,-,
0,0,-233,15,0.0019816,1,-,-,-,-,-,-,
0,0,-232,15,0.0020456,1,-,-,-,-,-,-,
0,0,-231,15,0.0021304,1,-,-,-,-,-,-,
0,0,-230,15,0.0022311,1,-,-,-,-,-,-,
0,0,-229,15,0.0023149,1,-,-,-,-,-,-,
0,0,-228,15,0.0024192,1,-,-,-,-,-,-,
0,0,-227,15,0.0025243,1,-,-,-,-,-,-,
0,0,-226,15,0.0026283,1,-,-,-,-,-,-,
0,0,-225,15,0.0027318,1,-,-,-,-,-,-,
0,0,-224,15,0.0028472,1,-,-,-,-,-,-,
0,0,-223,15,0.002972,1,-,-,-,-,-,-,
0,0,-222,15,0.0031097,1,-,-,-,-,-,-,
0,0,-221,15,0.0032738,1,-,-,-,-,-,-,
0,0,-220,15,0.0034362,1,-,-,-,-,-,-,
0,0,-219,15,0.0036547,1,-,-,-,-,-,-,
0,0,-218,15,0.0039207,1,-,-,-,-,-,-,
0,0,-217,15,0.0042345,1,-,-,-,-,-,-,
0,0,-216,15,0.0046291,1,-,-,-,-,-,-,
0,0,-215,15,0.0051814,1,-,-,-,-,-,-,
0,0,-214,15,0.005937,1,-,-,-,-,-,-,
0,0,-213,15,0.0070989,1,-,-,-,-,-,-,
0,0,-212,15,0.0089866,1,-,-,-,-,-,-,
0,0,-211,15,0.012228,1,-,-,-,-,-,-,
0,0,-210,15,0.017978,1,-,-,-,-,-,-,
0,0,-209,15,0.029901,1,-,-,-,-,-,-,
0,0,-208,15,0.055263,1,-,-,-,-,-,-,
0,0,-207,15,0.097908,1,-,-,-,-,-,-,
0,0,-206,15,0.15621,1,-,-,-,-,-,-,
0,0,-205,15,0.22135,1,-,-,-,-,-,-,
0,0,-204,15,0.28103,1,-,-,-,-,-,-,
0,0,-203,15,0.32692,1,-,-,-,-,-,-,
0,0,-202,15,0.35515,1,-,-,-,-,-,-,
0,0,-201,15,0.36916,1,-,-,-,-,-,-,
0,0,-200,15,0.37597,1,-,-,-,-,-,-,
0,0,-199,15,0.38086,1,-,-,-,-,-,-,
0,0,-198,15,0.38398,1,-,-,-,-,-,-,
0,0,-197,15,0.3872,1,-,-,-,-,-,-,
0,0,-196,15,0.39041,1,-,-,-,-,-,-,
