# SAVED: date 08/18/2021 time 10:28:32
*VERSION*1.100000
*ORIENTATION*0
*CHANNELS*01000001
*PDD*0

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
13876.7,13876.7,-254.441713779809,15,-,41.2492528557777,-,-,-,-,-,1929.73303794861
14099.9147,223.2147,-253.512962103434,15,-,40.685597807169,-,-,-,-,-,1931.70976638794
14317.1228,217.2081,-252.20130131055,15,-,39.9660244584084,-,-,-,-,-,1928.78043651581
14537.8129,220.6901,-250.888288181153,15,-,43.2820357382298,-,-,-,-,-,1928.9470911026
14758.0234,220.2105,-249.564795703292,15,-,44.1934876143932,-,-,-,-,-,1931.99551105499
14977.975,219.9516,-248.239095868668,15,-,45.4167574644089,-,-,-,-,-,1930.63795566559
15197.1858,219.2108,-246.919490109005,15,-,46.1063422262669,-,-,-,-,-,1931.23340606689
15419.3991,222.2133,-245.602431531035,15,-,46.3881716132164,-,-,-,-,-,1933.23385715485
15637.6086,218.2095,-244.285356343771,15,-,48.8347038626671,-,-,-,-,-,1941.1883354187
15859.5791,221.9705,-242.947276338582,15,-,49.692191183567,-,-,-,-,-,1936.4013671875
16077.8483,218.2692,-241.644466108131,15,-,52.660409361124,-,-,-,-,-,1933.78162384033
16297.3882,219.5399,-240.320277299437,15,-,56.0603700578213,-,-,-,-,-,1932.28137493134
16517.6,220.2118,-239.003186741919,15,-,57.1996867656708,-,-,-,-,-,1930.49514293671
16738.2589,220.6589,-237.682646581458,15,-,58.2070797681808,-,-,-,-,-,1924.9222278595
16959.4713,221.2124,-236.35851217793,15,-,62.6324340701103,-,-,-,-,-,1927.18482017517
17177.6803,218.209,-235.037034421789,15,-,63.1840974092484,-,-,-,-,-,1928.9470911026
17398.6798,220.9995,-233.727892025935,15,-,69.9720308184624,-,-,-,-,-,1933.68637561798
17618.8916,220.2118,-232.407846591016,15,-,68.3769807219505,-,-,-,-,-,1932.80529975891
17840.1035,221.2119,-231.075870255676,15,-,70.9014683961868,-,-,-,-,-,1929.8996925354
18060.3149,220.2114,-229.750562101386,15,-,75.0269964337349,-,-,-,-,-,1934.32950973511
18280.5267,220.2118,-228.427725618966,15,-,79.2784467339516,-,-,-,-,-,1933.25781822205
18500.576,220.0493,-227.110520506471,15,-,83.7637558579445,-,-,-,-,-,1932.11448192596
18722.7888,222.2128,-225.794332339484,15,-,85.7605561614037,-,-,-,-,-,1929.54242229462
18940.9983,218.2095,-224.4644373064,15,-,91.8648913502693,-,-,-,-,-,1932.25741386414
19161.531,220.5327,-223.142521779645,15,-,97.3635911941528,-,-,-,-,-,1933.97212028503
19380.4811,218.9501,-221.827547709054,15,-,99.5342954993248,-,-,-,-,-,1929.75687980652
19600.3358,219.8547,-220.508085299273,15,-,107.827313244343,-,-,-,-,-,1930.42361736298
19820.5476,220.2118,-219.189644985724,15,-,111.689001321793,-,-,-,-,-,1931.92410469055
20038.3471,217.7995,-217.874250429654,15,-,124.26345795393,-,-,-,-,-,1931.87630176544
20261.5609,223.2138,-216.549435700425,15,-,130.865499377251,-,-,-,-,-,1935.40108203888
20479.7704,218.2095,-215.218609461427,15,-,140.795543789864,-,-,-,-,-,1928.11357975006
20701.9837,222.2133,-213.90475345643,15,-,160.547703504562,-,-,-,-,-,1930.20939826965
20921.1941,219.2104,-212.58058258823,15,-,188.508927822113,-,-,-,-,-,1933.87699127197
21145.4098,224.2157,-211.255271853459,15,-,233.33802819252,-,-,-,-,-,1930.59039115906
21361.6173,216.2075,-209.935410748937,15,-,314.925104379654,-,-,-,-,-,1933.99596214294
21583.6958,222.0785,-208.615970099174,15,-,499.20654296875,-,-,-,-,-,1934.54372882843
21801.9595,218.2637,-207.283621949117,15,-,985.298931598663,-,-,-,-,-,1932.63840675354
22024.1728,222.2133,-205.970492974501,15,-,2266.09468460083,-,-,-,-,-,1927.78015136719
22253.8024,229.6296,-204.589524013674,15,-,4519.1707611084,-,-,-,-,-,1922.82652854919
22475.0071,221.2047,-203.258805294767,15,-,6941.7839050293,-,-,-,-,-,1924.61264133453
22694.0456,219.0385,-201.939404345518,15,-,8937.47043609619,-,-,-,-,-,1927.54185199738
22914.4938,220.4482,-200.631243700261,15,-,10017.8489685059,-,-,-,-,-,1934.92484092712
23136.7267,222.2329,-199.309421623826,15,-,10468.1301116943,-,-,-,-,-,1937.04438209534
23364.3032,227.5765,-197.964046892413,15,-,10701.3359069824,-,-,-,-,-,1936.56814098358
23583.8251,219.5219,-196.608456503003,15,-,10852.1451950073,-,-,-,-,-,1935.11533737183
23804.7708,220.9457,-195.293217461946,15,-,10981.6436767578,-,-,-,-,-,1929.518699646
24024.9404,220.1696,-193.966338101195,15,-,11088.2062911987,-,-,-,-,-,1930.37605285645
24244.1504,219.21,-192.644131379312,15,-,11184.0171813965,-,-,-,-,-,1932.01923370361
24475.8527,231.7023,-191.284190245709,15,-,11288.9842987061,-,-,-,-,-,1929.1615486145
24704.0646,228.2119,-189.92258960605,15,-,11367.4354553223,-,-,-,-,-,1933.40051174164
24924.8835,220.8189,-188.568405302959,15,-,11458.7488174438,-,-,-,-,-,1935.92500686646
25144.3389,219.4554,-187.248528183064,15,-,11536.4437103271,-,-,-,-,-,1935.90128421783
25365.526,221.1871,-185.929054898394,15,-,11626.5096664429,-,-,-,-,-,1933.13872814178
25584.9984,219.4724,-184.599278260291,15,-,11680.5734634399,-,-,-,-,-,1935.85360050201
25807.4562,222.4578,-183.285214260236,15,-,11769.9737548828,-,-,-,-,-,1925.97019672394
26025.6269,218.1707,-181.950911548511,15,-,11841.5946960449,-,-,-,-,-,1921.99289798737
26246.8379,221.211,-180.639345455228,15,-,11933.3934783936,-,-,-,-,-,1918.73025894165
26465.1605,218.3226,-179.319086905248,15,-,12000.1993179321,-,-,-,-,-,1929.35192584991
26684.9499,219.7894,-178.002519233296,15,-,12069.6315765381,-,-,-,-,-,1932.2098493576
26905.9864,221.0365,-176.685836340767,15,-,12148.8857269287,-,-,-,-,-,1933.78162384033
27126.2567,220.2703,-175.361707702364,15,-,12233.3459854126,-,-,-,-,-,1934.56757068634
27346.8508,220.5941,-174.034414901261,15,-,12279.6440124512,-,-,-,-,-,1933.78162384033
27567.2098,220.359,-172.714376501228,15,-,12277.1615982056,-,-,-,-,-,1927.85167694092
27786.5803,219.3705,-171.392242104527,15,-,12419.8341369629,-,-,-,-,-,1929.94737625122
28007.3096,220.7293,-170.076994103462,15,-,12522.8757858276,-,-,-,-,-,1934.25810337067
28229.5225,222.2129,-168.747182895089,15,-,12578.9957046509,-,-,-,-,-,1932.90054798126
28446.3491,216.8266,-167.419703869187,15,-,12645.658493042,-,-,-,-,-,1933.82930755615
28669.8463,223.4972,-166.104978098328,15,-,12708.5666656494,-,-,-,-,-,1933.54344367981
28887.6935,217.8472,-164.782524346474,15,-,12778.7485122681,-,-,-,-,-,1930.80472946167
29107.9045,220.211,-163.472333619485,15,-,12843.7242507935,-,-,-,-,-,1931.75733089447
29327.7562,219.8517,-162.147415865528,15,-,12926.139831543,-,-,-,-,-,1933.99596214294
29546.813,219.0568,-160.825888824225,15,-,13035.2210998535,-,-,-,-,-,1932.30509757996
29768.4785,221.6655,-159.508354096089,15,-,13087.306022644,-,-,-,-,-,1930.30452728271
29994.2267,225.7482,-158.178237612576,15,-,13153.1829833984,-,-,-,-,-,1934.25810337067
30217.8625,223.6358,-156.813512500491,15,-,13239.4275665283,-,-,-,-,-,1937.94929981232
30438.0735,220.211,-155.481643060602,15,-,13326.5972137451,-,-,-,-,-,1933.85303020477
30658.9411,220.8676,-154.167778740718,15,-,13384.6788406372,-,-,-,-,-,1934.4961643219
30878.152,219.2109,-152.830908981682,15,-,13449.7880935669,-,-,-,-,-,1927.78015136719
31099.8686,221.7166,-151.520265779427,15,-,13506.3514709473,-,-,-,-,-,1922.82652854919
31321.6412,221.7726,-150.195836975648,15,-,13576.2271881104,-,-,-,-,-,1929.25667762756
31549.3845,227.7433,-148.840965926371,15,-,13661.2510681152,-,-,-,-,-,1930.0901889801
31770.5973,221.2128,-147.498478897902,15,-,13722.8527069092,-,-,-,-,-,1931.66208267212
31999.1637,228.5664,-146.150080169028,15,-,13808.4030151367,-,-,-,-,-,1931.66208267212
32219.3853,220.2216,-144.801682740636,15,-,13876.1138916016,-,-,-,-,-,1937.13963031769
