# Exported: 9/4/2021 11:12:00 PM
# Scan Set: Tran_J07_20210818_Pro
# Scan Orientation: Transverse
# Scan: d = 15 mm
# Processed Data

Position,Value
-255.746960441298,0.0018
-254.818208764923,0.0017
-253.506547972039,0.0017
-252.193534842642,0.0019
-250.870042364781,0.0019
-249.544342530157,0.0019
-248.224736770494,0.0020
-246.907678192524,0.0020
-245.59060300526,0.0021
-244.252523000071,0.0021
-242.94971276962,0.0023
-241.625523960926,0.0024
-240.308433403408,0.0025
-238.987893242947,0.0025
-237.663758839419,0.0027
-236.342281083278,0.0027
-235.033138687424,0.0030
-233.713093252505,0.0029
-232.381116917165,0.0030
-231.055808762875,0.0032
-229.732972280455,0.0034
-228.41576716796,0.0036
-227.099579000973,0.0037
-225.769683967889,0.0039
-224.447768441134,0.0042
-223.132794370543,0.0043
-221.813331960762,0.0046
-220.494891647213,0.0048
-219.179497091143,0.0053
-217.854682361914,0.0056
-216.523856122916,0.0060
-215.210000117919,0.0069
-213.885829249719,0.0081
-212.560518514948,0.0100
-211.240657410426,0.0135
-209.921216760663,0.0214
-208.588868610606,0.0422
-207.27573963599,0.0971
-205.894770675163,0.1936
-204.564051956256,0.2973
-203.244651007007,0.3828
-201.93649036175,0.4291
-200.614668285315,0.4484
-199.269293553902,0.4584
-197.913703164492,0.4648
-196.598464123435,0.4704
-195.271584762684,0.4750
-193.949378040801,0.4791
-192.589436907198,0.4836
-191.227836267539,0.4869
-189.873651964448,0.4908
-188.553774844553,0.4942
-187.234301559883,0.4980
-185.90452492178,0.5003
-184.590460921725,0.5042
-183.25615821,0.5072
-181.944592116717,0.5112
-180.624333566737,0.5140
-179.307765894785,0.5170
-177.991083002256,0.5204
-176.666954363853,0.5240
-175.33966156275,0.5260
-174.019623162717,0.5259
-172.697488766016,0.5320
-171.382240764951,0.5364
-170.052429556578,0.5388
-168.724950530676,0.5417
-167.410224759817,0.5444
-166.087771007963,0.5474
-164.777580280974,0.5501
-163.452662527017,0.5537
-162.131135485714,0.5583
-160.813600757578,0.5606
-159.483484274065,0.5634
-158.11875916198,0.5671
-156.786889722091,0.5708
-155.473025402207,0.5733
-154.136155643171,0.5761
-152.825512440916,0.5785
-151.501083637137,0.5815
-150.14621258786,0.5852
-148.803725559391,0.5878
-147.455326830517,0.5915
-146.106929402125,0.5944
-144.78298571876,0.5983
-143.409731314276,0.6018
-142.076471803441,0.6043
-140.761479167714,0.6077
-139.43238027483,0.6107
-138.091601392458,0.6147
-136.728465396609,0.6182
-135.384644586522,0.6215
-134.034449401715,0.6246
-132.724937730665,0.6277
-131.389581567801,0.6311
-130.075597562695,0.6351
-128.758692605336,0.6375
-127.434889087211,0.6420
-126.117902199542,0.6456
